Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 44.1 MB
Getting composition
Composition          Audiogram
Codec                h264
Output               out/video.mp4
Concurrency          2x
Rendered 161/7501, time remaining: 37m 57s
Rendered 161/7501, time remaining: 37m 57s
Rendered 162/7501, time remaining: 38m 10s
Rendered 163/7501, time remaining: 38m 4s
Rendered 163/7501, time remaining: 38m 4s
Rendered 164/7501, time remaining: 38m 9s
Rendered 165/7501, time remaining: 38m 8s
Rendered 165/7501, time remaining: 38m 8s
Rendered 166/7501, time remaining: 38m 10s
Rendered 166/7501, time remaining: 38m 10s
Rendered 167/7501, time remaining: 38m 9s
Rendered 168/7501, time remaining: 38m 9s
Rendered 168/7501, time remaining: 38m 9s
Rendered 169/7501, time remaining: 38m 13s
Rendered 169/7501, time remaining: 38m 13s
Rendered 170/7501, time remaining: 38m 10s
Rendered 170/7501, time remaining: 38m 10s
Rendered 171/7501, time remaining: 38m 18s
Rendered 172/7501, time remaining: 38m 18s
Rendered 172/7501, time remaining: 38m 18s
Rendered 173/7501, time remaining: 38m 35s
Rendered 173/7501, time remaining: 38m 35s
Rendered 174/7501, time remaining: 38m 23s
Rendered 174/7501, time remaining: 38m 23s
Rendered 175/7501, time remaining: 38m 36s
Rendered 176/7501, time remaining: 38m 25s
Rendered 176/7501, time remaining: 38m 25s
Rendered 177/7501, time remaining: 38m 40s
Rendered 178/7501, time remaining: 38m 25s
Rendered 178/7501, time remaining: 38m 25s
Rendered 179/7501, time remaining: 38m 44s
Rendered 179/7501, time remaining: 38m 44s
Rendered 180/7501, time remaining: 38m 20s
Rendered 180/7501, time remaining: 38m 20s
Rendered 181/7501, time remaining: 38m 46s
Rendered 182/7501, time remaining: 38m 21s
Rendered 182/7501, time remaining: 38m 21s
Rendered 183/7501, time remaining: 38m 52s
Rendered 184/7501, time remaining: 38m 29s
Rendered 184/7501, time remaining: 38m 29s
Rendered 184/7501, time remaining: 38m 29s
Rendered 185/7501, time remaining: 39m 2s
Rendered 186/7501, time remaining: 38m 40s
Rendered 186/7501, time remaining: 38m 40s
Rendered 187/7501, time remaining: 39m 7s
Rendered 188/7501, time remaining: 38m 47s
Rendered 188/7501, time remaining: 38m 47s
Rendered 189/7501, time remaining: 39m 5s
Rendered 189/7501, time remaining: 39m 5s
Rendered 190/7501, time remaining: 38m 49s
Rendered 190/7501, time remaining: 38m 49s
Rendered 191/7501, time remaining: 39m 2s
Rendered 192/7501, time remaining: 38m 50s
Rendered 192/7501, time remaining: 38m 50s
Rendered 193/7501, time remaining: 39m 2s
Rendered 194/7501, time remaining: 38m 50s
Rendered 194/7501, time remaining: 38m 50s
Rendered 195/7501, time remaining: 39m 6s
Rendered 195/7501, time remaining: 39m 6s
Rendered 196/7501, time remaining: 38m 58s
Rendered 197/7501, time remaining: 39m 7s
Rendered 197/7501, time remaining: 39m 7s
Rendered 198/7501, time remaining: 39m 1s
Rendered 198/7501, time remaining: 39m 1s
Rendered 199/7501, time remaining: 39m 13s
Rendered 200/7501, time remaining: 39m 4s
Rendered 200/7501, time remaining: 39m 4s
Rendered 201/7501, time remaining: 39m 13s
Rendered 201/7501, time remaining: 39m 13s
Rendered 202/7501, time remaining: 39m 8s
Rendered 203/7501, time remaining: 39m 18s
Rendered 203/7501, time remaining: 39m 18s
Rendered 204/7501, time remaining: 39m 11s
Rendered 205/7501, time remaining: 39m 17s
Rendered 205/7501, time remaining: 39m 17s
Rendered 206/7501, time remaining: 39m 12s
Rendered 206/7501, time remaining: 39m 12s
Rendered 207/7501, time remaining: 39m 15s
Rendered 207/7501, time remaining: 39m 15s
Rendered 208/7501, time remaining: 39m 16s
Rendered 209/7501, time remaining: 39m 15s
Rendered 209/7501, time remaining: 39m 15s
Rendered 210/7501, time remaining: 39m 17s
Rendered 211/7501, time remaining: 39m 13s
Rendered 211/7501, time remaining: 39m 13s
Rendered 212/7501, time remaining: 39m 19s
Rendered 213/7501, time remaining: 39m 12s
Rendered 213/7501, time remaining: 39m 12s
Rendered 214/7501, time remaining: 39m 22s
Rendered 214/7501, time remaining: 39m 22s
Rendered 215/7501, time remaining: 39m 11s
Rendered 215/7501, time remaining: 39m 11s
Rendered 216/7501, time remaining: 39m 24s
Rendered 217/7501, time remaining: 39m 12s
Rendered 217/7501, time remaining: 39m 12s
Rendered 218/7501, time remaining: 39m 27s
Rendered 219/7501, time remaining: 39m 14s
Rendered 219/7501, time remaining: 39m 14s
Rendered 220/7501, time remaining: 39m 29s
Rendered 221/7501, time remaining: 39m 13s
Rendered 221/7501, time remaining: 39m 13s
Rendered 221/7501, time remaining: 39m 13s
Rendered 222/7501, time remaining: 39m 30s
